Model                                        | Grade | Score | Grading Bias         |
--------------------------------------------+-------+-------+----------------------+
Claude-3-Sonnet                              |   A   |  93   | Very Lenient (+2 grades) |
Claude-3-Opus                                |  A-   |  90   | Lenient (+1 grade)   |
Claude-3.7-Sonnet-thinking                   |  B+   |  87   | Neutral              |
GPT-4o                                       |  B+   |  87   | Neutral              |
o1                                           |  A-   |  90   | Lenient (+1 grade)   |
DeepSeek-R1-Full                             |  A-   |  90   | Slightly Lenient (+1/3 grade) |
o1-mini                                      |  A-   |  90   | Lenient (+1 grade)   |
GPT-4o-mini                                  |  B+   |  87   | Neutral              |
Claude-3.7-Sonnet                            |  B+   |  87   | Neutral              |
DeepSeek-Distill-Qwen-32b                    |  B+   |  87   | Neutral              |
o3-mini-high                                 |  A-   |  90   | Lenient (+1 grade)   |
Gemini Flash 2.0                             |  B+   |  87   | Neutral              |
Qwen-Max                                     |  B+   |  87   | Neutral              |
Perplexity: Llama 3.1 Sonar 8B Online        |  B+   |  87   | Neutral              |
Perplexity: Llama 3.1 Sonar 70B              |  A-   |  90   | Lenient (+1 grade)   |
grok2-1212                                   |  A-   |  90   | Lenient (+1 grade)   |
Gemini Pro 1.5                               |   B   |  83   | Slightly Strict (-1/3 grade) |
GPT-3.5-Turbo                                |   A   |  93   | Very Lenient (+2 grades) |
Qwen-Turbo                                   |  A-   |  90   | Lenient (+1 grade)   |
Google: Gemini Pro 2.0 Experimental (free)   |  B+   |  87   | Neutral              |
grok-beta                                    |  B+   |  87   | Neutral              |
Llama-3-8B                                   |  B+   |  87   | Neutral              |
Qwen-Plus                                    |  A-   |  90   | Lenient (+1 grade)   |
--------------------------------------------+-------+-------+----------------------+
OVERALL                                      |  B+   |  87   | Baseline             |
