Model                                     | Grade | Score | Grading Bias         |
-----------------------------------------+-------+-------+----------------------+
GPT-3.5-Turbo                             |   A   |  93   | Very Lenient (+2 grades) |
Llama-3-8B                                |  B+   |  87   | Neutral              |
GPT-4o-mini                               |   B   |  83   | Slightly Strict (-1/3 grade) |
grok-beta                                 |  B+   |  87   | Neutral              |
Claude-3-Sonnet                           |   A   |  93   | Very Lenient (+2 grades) |
Qwen-Turbo                                |  B+   |  87   | Neutral              |
Claude-3.7-Sonnet                         |  B-   |  80   | Strict (-1 grade)    |
grok2-1212                                |  A-   |  90   | Lenient (+1 grade)   |
Gemini Flash 1.5                          |  B-   |  80   | Strict (-1 grade)    |
GPT-4o                                    |  B+   |  87   | Neutral              |
Perplexity: Llama 3.1 Sonar 8B Online     |  B+   |  87   | Neutral              |
o1-mini                                   |  B+   |  87   | Neutral              |
Qwen-Plus                                 |  B+   |  87   | Neutral              |
Gemini Pro 1.5                            |  B-   |  80   | Strict (-1 grade)    |
Claude-3-Opus                             |  B+   |  87   | Neutral              |
Claude-3.7-Sonnet-thinking                |  B-   |  80   | Strict (-1 grade)    |
o1                                        |   B   |  83   | Slightly Strict (-1/3 grade) |
Qwen-Max                                  |   B   |  83   | Slightly Strict (-1/3 grade) |
o3-mini-high                              |  A-   |  90   | Lenient (+1 grade)   |
DeepSeek-Distill-Qwen-32b                 |  B+   |  87   | Neutral              |
Perplexity: Llama 3.1 Sonar 405B Online   |   A   |  93   | Very Lenient (+2 grades) |
Perplexity: Llama 3.1 Sonar 70B           |  A-   |  90   | Lenient (+1 grade)   |
DeepSeek-R1-Full                          |  B+   |  87   | Neutral              |
-----------------------------------------+-------+-------+----------------------+
OVERALL                                   |  B+   |  87   | Baseline             |
