Model                                     | Median Given | Grading Bias         |
-----------------------------------------+--------------+----------------------+
GPT-3.5-Turbo                             |      A-      | Lenient (+1 grade)   |
Llama-3-8B                                |      B+      | Neutral              |
o1-mini                                   |      B+      | Neutral              |
GPT-4o-mini                               |      B       | Slightly Strict (-1/3 grade) |
grok-beta                                 |      A-      | Lenient (+1 grade)   |
Claude-3-Sonnet                           |      A       | Very Lenient (+2 grades) |
Qwen-Turbo                                |      B+      | Neutral              |
Claude-3.7-Sonnet                         |      B       | Slightly Strict (-1/3 grade) |
GPT-4o                                    |      B+      | Neutral              |
grok2-1212                                |      A-      | Lenient (+1 grade)   |
Gemini Flash 1.5                          |      B-      | Strict (-1 grade)    |
Claude-3-Opus                             |      B+      | Neutral              |
Perplexity: Llama 3.1 Sonar 8B Online     |      B+      | Neutral              |
Perplexity: Llama 3.1 Sonar 70B           |      A-      | Lenient (+1 grade)   |
Gemini Pro 1.5                            |      B-      | Strict (-1 grade)    |
Qwen-Plus                                 |      A-      | Lenient (+1 grade)   |
o3-mini-high                              |      A-      | Lenient (+1 grade)   |
Qwen-Max                                  |      B       | Slightly Strict (-1/3 grade) |
o1                                        |      B+      | Neutral              |
Claude-3.7-Sonnet-thinking                |      B-      | Strict (-1 grade)    |
DeepSeek-Distill-Qwen-32b                 |      A-      | Lenient (+1 grade)   |
Perplexity: Llama 3.1 Sonar 405B Online   |      A-      | Lenient (+1 grade)   |
DeepSeek-R1-Full                          |      A-      | Lenient (+1 grade)   |
-----------------------------------------+--------------+----------------------+
OVERALL                                   |      B+      | Baseline             |
