Model,GPT-3.5-Turbo,Llama-3-8B,o1-mini,Claude-3-Sonnet,grok-beta,grok2-1212,GPT-4o,Claude-3.7-Sonnet,Qwen-Turbo,Qwen-Plus,Gemini Flash 2.0,Perplexity: Llama 3.1 Sonar 70B,Perplexity: Llama 3.1 Sonar 8B Online,Gemini Pro 1.5,GPT-4o-mini,Claude-3-Opus,Qwen-Max,o3-mini-high,o1,DeepSeek-Distill-Qwen-32b,Claude-3.7-Sonnet-thinking,DeepSeek-R1-Full,Median Grade,Percentage
GPT-3.5-Turbo,---,B+ (87),A (93),A- (90),A- (90),A- (90),A (93),C+ (77),A- (90),A (93),A (93),A (93),A (93),B (83),A (93),B+ (87),A- (90),C- (70),B+ (87),A (93),C (73),C- (70),A-,90
Llama-3-8B,A (93),---,A- (90),B+ (87),B+ (87),B+ (87),A (93),A- (90),A (93),A (93),B+ (87),A (93),A (93),A (93),A- (90),A (93),A- (90),A- (90),A (93),B (83),A (93),B- (80),A-,90
o1-mini,A (93),A+ (100),---,A- (90),A- (90),A (93),A (93),A- (90),A (93),A (93),A (93),A+ (100),A (93),A+ (100),A (93),A (93),A- (90),A (93),A (93),A+ (100),A (93),B+ (87),A,93
Claude-3-Sonnet,A (93),A+ (100),A- (90),---,B+ (87),A- (90),A (93),B+ (87),A (93),A- (90),A (93),A (93),A+ (100),A (93),A (93),A- (90),A (93),A- (90),A- (90),A (93),A- (90),B- (80),A,93
grok-beta,B (83),A- (90),A- (90),B+ (87),---,A (93),A (93),A- (90),A (93),A (93),B+ (87),A+ (100),B+ (87),A (93),B+ (87),A (93),A- (90),A- (90),A (93),A- (90),A- (90),B+ (87),A-,90
grok2-1212,A (93),A (93),A (93),A (93),B+ (87),---,A (93),A- (90),A (93),A (93),A (93),A (93),A+ (100),A (93),A (93),A (93),A (93),A- (90),A (93),A (93),A (93),B (83),A,93
GPT-4o,A (93),B+ (87),A (93),A (93),A- (90),A (93),---,A- (90),A- (90),A (93),A (93),A+ (100),A (93),A (93),A (93),A+ (100),A+ (100),A (93),A (93),B+ (87),A- (90),A- (90),A,93
Claude-3.7-Sonnet,A (93),A+ (100),A (93),A (93),A (93),A (93),A (93),---,A (93),A (93),A (93),A+ (100),A (93),A (93),A (93),A (93),A (93),A+ (100),A (93),B+ (87),A (93),A- (90),A,93
Qwen-Turbo,B- (80),B+ (87),B+ (87),A- (90),A- (90),A- (90),A (93),B+ (87),---,A (93),A- (90),A- (90),A+ (100),A (93),B (83),A (93),N/A (0),B (83),B+ (87),B- (80),A (93),B- (80),A-,90
Qwen-Plus,A (93),A+ (100),A (93),A- (90),A- (90),A (93),A (93),A- (90),A (93),---,A (93),A (93),A+ (100),A (93),A (93),A (93),B+ (87),A (93),A+ (100),A+ (100),A- (90),A- (90),A,93
Gemini Flash 2.0,A- (90),A+ (100),A- (90),A (93),A- (90),A- (90),A- (90),A- (90),A+ (100),A (93),---,A+ (100),A+ (100),A (93),A- (90),A (93),A (93),A (93),A (93),A+ (100),A- (90),B (83),A,93
Perplexity: Llama 3.1 Sonar 70B,A (93),B+ (87),B (83),B+ (87),A- (90),A- (90),A (93),A- (90),A (93),A (93),B+ (87),---,a (0),A (93),A- (90),A (93),A (93),B+ (87),B+ (87),A+ (100),A (93),B- (80),A-,90
Perplexity: Llama 3.1 Sonar 8B Online,A (93),A- (90),B- (80),A- (90),A- (90),A (93),A (93),A- (90),B+ (87),A- (90),B- (80),A- (90),---,A (93),A- (90),A (93),B (83),B- (80),A- (90),A (93),A- (90),B- (80),A-,90
Gemini Pro 1.5,A- (90),A- (90),A (93),A- (90),B+ (87),A+ (100),A (93),A- (90),A (93),B (83),B+ (87),A+ (100),B+ (87),---,A- (90),A (93),B (83),A (93),A (93),A+ (100),A (93),B- (80),A-,90
