Model                                   | Grade | Score | Grading Bias         |
---------------------------------------+-------+-------+----------------------+
Llama-3-8B                              |  B+   |  87   | Neutral              |
GPT-4o-mini                             |  B+   |  87   | Neutral              |
Qwen-Turbo                              |  B+   |  87   | Neutral              |
grok-beta                               |  B+   |  87   | Neutral              |
GPT-3.5-Turbo                           |   A   |  93   | Very Lenient (+2 grades) |
grok2-1212                              |  B+   |  87   | Neutral              |
Claude-3.7-Sonnet                       |   B   |  83   | Slightly Strict (-1/3 grade) |
Claude-3-Sonnet                         |  A-   |  90   | Lenient (+1 grade)   |
GPT-4o                                  |  B+   |  87   | Neutral              |
Claude-3-Opus                           |  B+   |  87   | Neutral              |
Qwen-Plus                               |  B+   |  87   | Neutral              |
Gemini Flash 2.0                        |  B-   |  80   | Strict (-1 grade)    |
DeepSeek-Distill-Qwen-32b               |  B+   |  87   | Neutral              |
o1                                      |  A-   |  90   | Lenient (+1 grade)   |
Perplexity: Llama 3.1 Sonar 8B Online   |  B+   |  87   | Neutral              |
o1-mini                                 |  B+   |  87   | Neutral              |
o3-mini-high                            |  A-   |  90   | Lenient (+1 grade)   |
Gemini Pro 1.5                          |  B-   |  80   | Strict (-1 grade)    |
Qwen-Max                                |  B+   |  87   | Neutral              |
Perplexity: Llama 3.1 Sonar 70B         |  A-   |  90   | Lenient (+1 grade)   |
Claude-3.7-Sonnet-thinking              |   B   |  83   | Slightly Strict (-1/3 grade) |
DeepSeek-R1-Full                        |   B   |  83   | Slightly Strict (-1/3 grade) |
---------------------------------------+-------+-------+----------------------+
OVERALL                                 |  B+   |  87   | Baseline             |
