Model                                   | Grade | Score | Grading Bias         |
---------------------------------------+-------+-------+----------------------+
GPT-3.5-Turbo                           |   A   |  93   | Neutral              |
Llama-3-8B                              |   A   |  93   | Neutral              |
o1-mini                                 |  A-   |  90   | Slightly Strict (-1/3 grade) |
Claude-3-Sonnet                         |  A-   |  90   | Slightly Strict (-1/3 grade) |
grok-beta                               |  A-   |  90   | Slightly Strict (-1/3 grade) |
grok2-1212                              |  A-   |  90   | Slightly Strict (-1/3 grade) |
GPT-4o                                  |   A   |  93   | Neutral              |
Claude-3.7-Sonnet                       |  A-   |  90   | Slightly Strict (-1/3 grade) |
Qwen-Turbo                              |   A   |  93   | Neutral              |
Qwen-Plus                               |   A   |  93   | Neutral              |
Gemini Flash 2.0                        |   A   |  93   | Neutral              |
Perplexity: Llama 3.1 Sonar 70B         |   A   |  93   | Neutral              |
Perplexity: Llama 3.1 Sonar 8B Online   |   A   |  93   | Neutral              |
Gemini Pro 1.5                          |   A   |  93   | Neutral              |
GPT-4o-mini                             |   A   |  93   | Neutral              |
Claude-3-Opus                           |   A   |  93   | Neutral              |
Qwen-Max                                |  A-   |  90   | Slightly Strict (-1/3 grade) |
o3-mini-high                            |  A-   |  90   | Slightly Strict (-1/3 grade) |
o1                                      |   A   |  93   | Neutral              |
DeepSeek-Distill-Qwen-32b               |   A   |  93   | Neutral              |
Claude-3.7-Sonnet-thinking              |   A   |  93   | Neutral              |
DeepSeek-R1-Full                        |   B   |  83   | Very Strict (-2 grades) |
---------------------------------------+-------+-------+----------------------+
OVERALL                                 |   A   |  93   | Baseline             |
