Model                                   | Grade | Score | Grading Bias         |
---------------------------------------+-------+-------+----------------------+
GPT-3.5-Turbo                           |  A-   |  90   | Lenient (+1 grade)   |
Llama-3-8B                              |  B+   |  87   | Neutral              |
GPT-4o-mini                             |  B+   |  87   | Neutral              |
Qwen-Turbo                              |  B+   |  87   | Neutral              |
grok-beta                               |  B+   |  87   | Neutral              |
Claude-3.7-Sonnet                       |  B+   |  87   | Neutral              |
Claude-3-Sonnet                         |  A-   |  90   | Lenient (+1 grade)   |
Qwen-Plus                               |  A-   |  90   | Lenient (+1 grade)   |
Gemini Flash 2.0                        |  B+   |  87   | Neutral              |
Perplexity: Llama 3.1 Sonar 70B         |  A-   |  90   | Lenient (+1 grade)   |
Perplexity: Llama 3.1 Sonar 8B Online   |  B+   |  87   | Neutral              |
GPT-4o                                  |  B+   |  87   | Neutral              |
o1-mini                                 |  B+   |  88   | Slightly Lenient (+1/3 grade) |
Claude-3-Opus                           |  A-   |  91   | Lenient (+1 grade)   |
grok2-1212                              |  A-   |  90   | Lenient (+1 grade)   |
Gemini Pro 1.5                          |  B+   |  87   | Neutral              |
o1                                      |  A-   |  90   | Lenient (+1 grade)   |
Qwen-Max                                |  A-   |  90   | Lenient (+1 grade)   |
o3-mini-high                            |  A-   |  90   | Lenient (+1 grade)   |
Claude-3.7-Sonnet-thinking              |  B+   |  87   | Neutral              |
DeepSeek-R1-Full                        |  A-   |  90   | Lenient (+1 grade)   |
DeepSeek-Distill-Qwen-32b               |  B+   |  87   | Neutral              |
---------------------------------------+-------+-------+----------------------+
OVERALL                                 |  B+   |  87   | Baseline             |
