Model                                            | GPT-4o    | Claude-3- | o1        | Claude-3- | GPT-3.5-T | Claude-3. | Claude-3. | GPT-4o-mi | Qwen-Turb | o3-mini-h | Perplexit | DeepSeek- | o1-mini   | Llama-3-8 | Perplexit | Gemini Pr | DeepSeek- | Gemini Fl | grok2-121 | grok-beta | Qwen-Max  | Qwen-Plus | Meta: Lla | Meta: Lla | Mistral:  | DeepSeek: | Google: G | Mistral:  | NVIDIA: L | Google: G | Meta: Lla | Dolphin3. | Moonshot  | Median  | Pct   |
------------------------------------------------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+---------+-------+
GPT-4o                                           | A- (90)   | A- (90)   | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | B (83)    | B+ (87)   | A- (90)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | B (83)    | A- (90)   | B (83)    | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A (0)   |   B+    |  88   |
Claude-3-Opus                                    | B+ (87)   | A- (90)   | A- (90)   | A (93)    | A (93)    | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | A- (90)   | B (83)    | A- (90)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       |   A-    |  90   |
o1                                               | B+ (87)   | A (93)    | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | A- (90)   | A- (90)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | B+ (87)   | A- (90)   | B- (80)   | A- (90)   | B (83)    | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | A (93)    | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       |   A-    |  90   |
Claude-3-Sonnet                                  | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | A- (90)   | B- (80)   | B+ (87)   | B+ (87)   | A+ (100)  | A- (90)   | B+ (87)   | B+ (87)   | A (93)    | B+ (87)   | A- (90)   | B+ (87)   | A- (90)   | B+ (87)   | A- (90)   | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A (0)   |   A-    |  90   |
GPT-3.5-Turbo                                    | A- (90)   | A- (90)   | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | B (83)    | B+ (87)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | B- (80)   | A- (90)   | B (83)    | A- (90)   | B (83)    | B (83)    | A- (90)   | A- (90)   | N/A       | N/A       | N/A       | B- (80)   | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       |   B+    |  87   |
Claude-3.7-Sonnet-thinking                       | B+ (87)   | A- (90)   | A (93)    | A- (90)   | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   | B (83)    | A- (90)   | B (83)    | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | A+ (100)  | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       |   A-    |  90   |
Claude-3.7-Sonnet                                | A- (90)   | A- (90)   | A- (90)   | A- (90)   | A (93)    | B+ (87)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   | A (93)    | B+ (87)   | B+ (87)   | b (0)     | A- (90)   | B (83)    | A- (90)   | B+ (87)   | A- (90)   | A- (90)   | B+ (87)   | A- (90)   | A- (90)   | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       |   A-    |  90   |
GPT-4o-mini                                      | A- (90)   | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   | B- (80)   | B+ (87)   | B+ (87)   | A- (90)   | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | N/A       | N/A       | N/A       | B+ (87)   | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       |   B+    |  88   |
Qwen-Turbo                                       | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | A (93)    | B+ (87)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | A- (90)   | B (83)    | A- (90)   | B+ (87)   | A- (90)   | A- (90)   | B+ (87)   | A- (90)   | A+ (100)  | N/A       | N/A       | N/A       | B+ (87)   | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       |   A-    |  90   |
o3-mini-high                                     | A- (90)   | A- (90)   | A (93)    | A (93)    | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | A (93)    | A- (90)   | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | A (93)    | B+ (87)   | A- (90)   | B (83)    | A (93)    | B+ (87)   | A- (90)   | A- (90)   | A- (90)   | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | A+ (100)  |   A-    |  90   |
Perplexity: Llama 3.1 Sonar 8B Online            | B+ (87)   | A (93)    | A- (90)   | B+ (87)   | A- (90)   | B+ (87)   | B (83)    | B+ (87)   | B (83)    | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | B- (80)   | A- (90)   | B (83)    | B+ (87)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | N/A       | N/A       | N/A       | C (73)    | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       |   B+    |  87   |
DeepSeek-Distill-Qwen-32b                        | B+ (87)   | B+ (87)   | A- (90)   | B+ (87)   | A- (90)   | C+ (77)   | B- (80)   | B+ (87)   | B+ (87)   | B (83)    | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | B- (80)   | B+ (87)   | B- (80)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | A- (90)   | N/A       | N/A       | N/A       | C+ (77)   | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       |   B+    |  87   |
o1-mini                                          | B+ (87)   | A (93)    | A- (90)   | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | A- (90)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       |   B+    |  87   |
Llama-3-8B                                       | B (83)    | A- (90)   | A- (90)   | B+ (87)   | A (93)    | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | B (83)    | B+ (87)   | B+ (87)   | A- (90)   | B- (80)   | B+ (87)   | B (83)    | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | A- (90)   | N/A       | N/A       | N/A       | C+ (77)   | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       |   B+    |  87   |
Perplexity: Llama 3.1 Sonar 70B                  | A- (90)   | A (93)    | A- (90)   | A- (90)   | A (93)    | B+ (87)   | B+ (87)   | A- (90)   | A (93)    | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | B+ (87)   | A- (90)   | B+ (87)   | A- (90)   | B+ (87)   | B+ (87)   | B+ (87)   | A- (90)   | A- (90)   | A+ (100)  | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       | N/A       |   A-    |  90   |
