Model,GPT-3.5-Turbo,o1-mini,Llama-3-8B,GPT-4o-mini,grok-beta,grok2-1212,Claude-3.7-Sonnet,Claude-3-Sonnet,GPT-4o,Qwen-Turbo,Claude-3-Opus,Gemini Flash 2.0,Perplexity: Llama 3.1 Sonar 8B Online,o3-mini-high,o1,Gemini Pro 1.5,Qwen-Plus,DeepSeek-Distill-Qwen-32b,Qwen-Max,Claude-3.7-Sonnet-thinking,Perplexity: Llama 3.1 Sonar 70B,DeepSeek-R1-Full,Median Grade,Percentage
GPT-3.5-Turbo,---,A (93),A- (90),A- (90),B+ (87),A- (90),B+ (87),A (93),A- (90),A (93),A (93),B+ (87),A- (90),A (93),A (93),B+ (87),A- (90),A- (90),A- (90),B+ (87),A (93),B+ (87),A-,90
o1-mini,A (93),---,A (93),A (93),A- (90),A+ (100),A (93),A (93),A+ (100),A (93),A (93),A (93),A- (90),A (93),A+ (100),A- (90),A (93),A (93),A (93),A (93),A+ (100),A (93),A,93
Llama-3-8B,A (93),A- (90),---,B+ (87),B+ (87),B+ (87),B- (80),A (93),B+ (87),B+ (87),A (93),A- (90),B+ (87),B- (80),B (83),C+ (77),A- (90),A- (90),B- (80),B- (80),A- (90),B- (80),B+,87
GPT-4o-mini,A (93),A- (90),A- (90),---,A- (90),A- (90),A- (90),A+ (100),A (93),A (93),A (93),A- (90),A- (90),A (93),A+ (100),B+ (87),A- (90),A+ (100),A- (90),A- (90),A- (90),A (93),A-,90
grok-beta,A- (90),A- (90),A- (90),A- (90),---,A+ (100),A (93),A (93),A (93),A (93),A (93),A (93),B+ (87),A (93),A (93),A- (90),A- (90),A- (90),C (73),A- (90),A (93),A (93),A,93
grok2-1212,A (93),A- (90),A+ (100),A- (90),A- (90),---,A- (90),A (93),A (93),A (93),A (93),A (93),A+ (100),A (93),A (93),B+ (87),A+ (100),A+ (100),A- (90),A- (90),A+ (100),A- (90),A,93
Claude-3.7-Sonnet,A- (90),A+ (100),B+ (87),A (93),A- (90),A (93),---,A (93),A (93),A (93),A (93),A- (90),A- (90),A (93),A (93),A- (90),A+ (100),A (93),A- (90),A+ (100),A+ (100),A+ (100),A,93
Claude-3-Sonnet,A (93),B+ (87),A (93),A- (90),A- (90),A (93),A- (90),---,A- (90),A (93),A (93),B+ (87),A (93),B- (80),A- (90),B+ (87),A (93),A (93),B+ (87),A- (90),A+ (100),B- (80),A-,90
GPT-4o,A- (90),A (93),A- (90),A- (90),A (93),A- (90),B+ (87),A (93),---,A (93),A+ (100),A- (90),A- (90),A (93),A (93),A- (90),A (93),A- (90),A- (90),A- (90),A (93),A- (90),A-,90
Qwen-Turbo,A (93),A+ (100),A+ (100),A- (90),A- (90),A (93),B+ (87),A+ (100),A (93),---,A (93),A- (90),A (93),A (93),A (93),B+ (87),A (93),B+ (87),B+ (87),A- (90),A (93),B+ (87),A,93
Claude-3-Opus,A (93),A (93),B+ (87),A- (90),A (93),A (93),A- (90),A (93),B+ (87),A- (90),---,A (93),B+ (87),A (93),A (93),B+ (87),A (93),A (93),A- (90),A- (90),A (93),A- (90),A,93
Gemini Flash 2.0,A (93),A (93),A- (90),A- (90),A- (90),A+ (100),A (93),A (93),A- (90),A (93),A+ (100),---,A (93),A (93),A (93),A (93),A (93),A+ (100),A- (90),A (93),A+ (100),A- (90),A,93
Perplexity: Llama 3.1 Sonar 8B Online,A (93),B+ (87),A- (90),A- (90),A- (90),A- (90),B+ (87),A (93),A- (90),A (93),A (93),B+ (87),---,A- (90),A- (90),B+ (87),A- (90),B+ (87),B+ (87),B+ (87),A+ (100),B- (80),A-,90
o3-mini-high,A (93),A (93),A- (90),A (93),A- (90),A+ (100),A+ (100),A+ (100),A+ (100),A (93),A+ (100),A (93),A (93),---,A+ (100),A (93),A (93),A+ (100),A+ (100),A+ (100),A+ (100),A (93),A,93
o1,A (93),A (93),A- (90),A- (90),A- (90),A+ (100),A (93),A (93),A (93),A (93),A (93),A (93),B+ (87),A+ (100),---,A (93),A (93),A+ (100),A (93),A (93),A+ (100),A+ (100),A,93
Gemini Pro 1.5,A- (90),A+ (100),A (93),A (93),A- (90),A (93),A (93),A (93),A (93),A- (90),A (93),A (93),B+ (87),A (93),A (93),---,A+ (100),A (93),A (93),A+ (100),A (93),A- (90),A,93
Qwen-Plus,A (93),A (93),A+ (100),A (93),A- (90),A+ (100),A- (90),A (93),A (93),A (93),A (93),A (93),B+ (87),A (93),A (93),A- (90),---,A- (90),A (93),A (93),A (93),A- (90),A,93
DeepSeek-Distill-Qwen-32b,A- (90),A (93),A- (90),A- (90),A (93),A (93),A- (90),A (93),A (93),A- (90),A (93),A (93),A- (90),A (93),A (93),A- (90),A (93),---,A- (90),A (93),A (93),A+ (100),A,93
Qwen-Max,A (93),A+ (100),A- (90),A- (90),A- (90),A (93),A (93),A (93),A (93),A (93),A+ (100),A (93),A (93),A (93),A+ (100),A (93),A+ (100),A+ (100),---,A+ (100),A+ (100),A- (90),A,93
