Model,GPT-3.5-Turbo,Llama-3-8B,GPT-4o-mini,Qwen-Turbo,grok-beta,grok2-1212,o1-mini,Claude-3-Sonnet,Gemini Flash 1.5,o1,GPT-4o,Claude-3-Opus,Perplexity: Llama 3.1 Sonar 8B Online,Qwen-Plus,Gemini Pro 1.5,Qwen-Max,Claude-3.7-Sonnet,o3-mini-high,DeepSeek-Distill-Qwen-32b,Perplexity: Llama 3.1 Sonar 405B Online,Claude-3.7-Sonnet-thinking,Perplexity: Llama 3.1 Sonar 70B,DeepSeek-R1-Full,Median Grade,Percentage
GPT-3.5-Turbo,---,A- (90),A- (90),A (93),B+ (87),A (93),A- (90),A (93),B- (80),A (93),A (93),A (93),A (93),A (93),A- (90),A- (90),A- (90),A (93),A (93),A+ (100),A- (90),A (93),A (93),A,93
Llama-3-8B,A (93),---,A- (90),A- (90),A- (90),A- (90),A- (90),A (93),B- (80),A (93),A- (90),A (93),B+ (87),A (93),B+ (87),C (73),B+ (87),A- (90),A- (90),A+ (100),B+ (87),A- (90),B (83),A-,90
GPT-4o-mini,A (93),A (93),---,A (93),A- (90),A (93),A (93),A (93),B (83),A (93),A- (90),A (93),A- (90),A (93),A- (90),A- (90),A- (90),A (93),A- (90),A+ (100),A- (90),A+ (100),A- (90),A,93
Qwen-Turbo,A- (90),B+ (87),A (93),---,A- (90),A (93),A (93),A (93),B+ (87),A (93),A- (90),A (93),A+ (100),A (93),B+ (87),C (73),A- (90),A (93),A (93),A+ (100),A- (90),A (93),A- (90),A,93
grok-beta,A- (90),A+ (100),A (93),A- (90),---,A+ (100),A (93),A (93),B+ (87),A (93),A (93),A (93),A- (90),A (93),B+ (87),A- (90),A- (90),A (93),A+ (100),A+ (100),A- (90),A (93),A- (90),A,93
grok2-1212,A- (90),A (93),A- (90),A (93),B+ (87),---,A (93),A (93),B+ (87),A+ (100),A (93),A (93),A- (90),A (93),A- (90),A- (90),A- (90),A+ (100),A+ (100),A+ (100),A (93),A (93),A- (90),A,93
o1-mini,A- (90),A+ (100),A (93),A (93),A (93),A+ (100),---,A (93),A- (90),A+ (100),A (93),A (93),A- (90),A+ (100),A (93),A- (90),A (93),A (93),A (93),A+ (100),A (93),A+ (100),A- (90),A,93
Claude-3-Sonnet,A (93),A (93),A- (90),A (93),A- (90),A (93),A- (90),---,B+ (87),A (93),A (93),A (93),A (93),A+ (100),B+ (87),A (93),A- (90),A (93),A (93),A+ (100),A- (90),A (93),A (93),A,93
Gemini Flash 1.5,A (93),A (93),A (93),A- (90),A- (90),A+ (100),A (93),A (93),---,A+ (100),A- (90),A (93),B+ (87),A (93),A- (90),A (93),A- (90),A (93),A (93),A+ (100),A- (90),A+ (100),A- (90),A,93
o1,A (93),A (93),A (93),A (93),A (93),A+ (100),A- (90),A (93),B+ (87),---,A+ (100),A (93),A (93),A+ (100),A (93),A (93),A- (90),A (93),A+ (100),A+ (100),A+ (100),A+ (100),A+ (100),A,93
